SalePrice,Area,Price/m2,Width,Length,Location
2950.0,100.0,29.5,5.0,20.0,quan ngu hanh son
1490.0,150.0,9.93,4.6,32.0,huyen hoa vang
2800.0,100.0,28.0,5.0,20.0,quan cam le
3750.0,93.0,40.32,5.0,18.6,quan lien chieu
3050.0,55.0,55.45,5.0,11.0,quan hai chau
2150.0,100.0,21.5,5.0,20.0,quan ngu hanh son
4200.0,100.0,42.0,5.0,20.0,quan cam le
1412.0,85.0,16.61,5.0,17.0,quan ngu hanh son
3420.0,107.0,31.96,5.0,17.0,quan lien chieu
2400.0,78.5,30.77,5.0,16.0,quan lien chieu
1411.0,86.0,16.41,5.0,17.0,quan ngu hanh son
2930.0,125.0,23.44,5.0,25.0,quan cam le
3190.0,100.0,31.9,5.0,20.0,quan lien chieu
1750.0,51.0,34.31,4.12,13.0,quan thanh khe
3150.0,100.0,31.5,5.0,20.0,quan ngu hanh son
267.0,100.0,26.7,5.0,20.0,quan cam le
1550.0,60.0,25.83,5.0,20.0,quan hai chau
1850.0,98.0,18.88,6.0,17.0,quan lien chieu
4350.0,75.0,58.0,5.0,15.0,quan hai chau
3000.0,85.0,35.29,5.0,17.0,quan lien chieu
8500.0,164.0,51.83,9.4,18.0,quan son tra
2090.0,100.0,20.9,5.0,20.0,quan lien chieu
1550.0,70.0,22.14,5.0,14.0,quan ngu hanh son
590.0,175.0,3.37,7.0,7.5,huyen hoa vang
1890.0,180.0,10.5,6.0,30.0,huyen hoa vang
2600.0,100.0,26.0,5.0,20.0,quan cam le
590.0,100.0,5.9,5.0,20.0,huyen hoa vang
3950.0,90.0,43.89,5.0,18.0,quan ngu hanh son
1800.0,65.0,27.69,5.0,18.0,quan cam le
4350.0,100.0,43.5,5.0,20.0,quan cam le
3150.0,95.0,33.16,5.2,18.2,quan cam le
7000.0,75.0,93.33,5.0,15.0,quan son tra
2600.0,112.0,23.21,4.0,25.0,quan cam le
1330.0,210.0,6.33,7.0,30.0,huyen hoa vang
1620.0,52.0,31.15,7.0,8.0,quan thanh khe
1450.0,80.0,18.13,5.0,16.0,quan cam le
1250.0,115.0,10.869565217391305,5.0,23.0,quan ngu hanh son
2400.0,100.0,24.0,5.0,20.0,quan lien chieu
670.0,150.0,4.47,8.0,22.0,huyen hoa vang
3250.0,110.0,29.55,5.0,22.0,quan lien chieu
1900.0,100.0,19.0,5.0,22.0,quan ngu hanh son
2250.0,100.0,22.5,5.0,20.0,quan cam le
420.0,91.7,46.153,7.0,13.0,quan thanh khe
5620.0,125.0,44.96,5.0,25.0,quan ngu hanh son
3050.0,100.0,30.5,5.0,20.0,quan cam le
2800.0,113.5,24.78,5.0,22.7,quan cam le
1490.0,77.0,19.35,4.1,19.0,quan lien chieu
2300.0,105.0,21.9,5.0,21.0,quan lien chieu
350.0,146.0,2.4,5.0,30.0,huyen hoa vang
2550.0,132.0,19.32,5.0,26.4,quan ngu hanh son
317.0,100.0,31.7,5.0,20.0,quan cam le
1100.0,161.0,6.83,5.0,30.0,huyen hoa vang
2439.0,79.0,30.87,5.0,17.0,quan lien chieu
3250.0,107.0,30.37,5.0,21.0,quan lien chieu
4200.0,109.0,38.53,5.0,21.8,quan ngu hanh son
1840.0,60.0,30.67,5.0,12.0,quan lien chieu
4400.0,150.0,29.33,7.0,20.0,quan ngu hanh son
4200.0,93.0,45.16,7.0,20.0,quan ngu hanh son
1820.0,85.0,21.41,5.0,17.0,quan lien chieu
3200.0,85.0,37.65,5.0,17.0,quan thanh khe
3200.0,110.0,29.09,5.0,17.0,quan cam le
1550.0,52.0,29.81,5.0,17.0,quan hai chau
313.0,85.0,3.68,5.0,17.0,quan ngu hanh son
1750.0,70.0,25.0,4.0,16.0,quan cam le
3500.0,100.0,35.0,5.0,20.0,quan cam le
1450.0,70.0,20.71,5.0,14.0,quan lien chieu
2380.0,210.0,11.333333333333334,12.0,17.5,quan son tra
1490.0,150.0,9.93,4.6,32.0,huyen hoa vang
1290.0,180.0,7.17,6.0,30.0,huyen hoa vang
1290.0,180.0,7.17,6.0,30.0,huyen hoa vang
2750.0,80.0,34.38,5.0,16.0,quan lien chieu
858.0,100.0,8.58,5.0,20.0,huyen hoa vang
2850.0,127.0,22.44,5.0,20.0,quan cam le
